id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag
id2156889,2,1/1/2016 19:35,1/1/2016 19:49,1,-73.97310638,40.7928009,-73.93933105,40.80516052,N
id0154410,2,1/1/2016 19:43,1/1/2016 19:54,2,-73.97338104,40.76028824,-73.98513794,40.75624084,N
id3907920,1,1/1/2016 20:23,1/1/2016 20:38,2,-73.99398041,40.7466507,-73.98920441,40.73020935,N
id3499109,1,1/1/2016 20:32,1/1/2016 20:47,1,-73.98477173,40.76012802,-73.9777298,40.74552155,N
id0981147,2,1/1/2016 20:33,1/1/2016 20:48,1,-73.95471191,40.78089142,-73.91835022,40.75843811,N
id3447607,2,1/1/2016 21:11,1/1/2016 21:16,1,-73.96192932,40.77074051,-73.94734955,40.77941895,N
id3918826,2,1/1/2016 22:22,1/1/2016 22:27,2,-73.92635345,40.76586151,-73.91403198,40.76774979,N
id3716508,2,1/1/2016 22:30,1/1/2016 22:49,5,-73.99300385,40.72438049,-73.99930573,40.76105499,N
id3805704,2,1/1/2016 22:39,1/1/2016 22:48,1,-73.96749115,40.77194977,-73.97226715,40.79581833,N
id1915628,2,1/1/2016 22:52,1/1/2016 22:53,2,-73.98303986,40.7349205,-73.98628998,40.73043823,N
id1552630,2,1/1/2016 22:56,1/1/2016 23:01,1,-73.95967865,40.7708931,-73.95262146,40.78749466,N
id0892213,2,1/1/2016 23:04,1/1/2016 23:16,5,-73.97879028,40.72982407,-73.98981476,40.75624084,N
id2811706,2,1/1/2016 23:17,1/1/2016 23:55,3,-73.97823334,40.75262833,-73.78144836,40.67589188,N
id2516866,2,1/2/2016 0:43,1/2/2016 0:53,1,-73.98361206,40.74300003,-73.94785309,40.78879547,N
id1611863,1,1/2/2016 1:26,1/2/2016 1:35,1,-73.94038391,40.81481552,-73.93083191,40.83193588,N
id3514352,1,1/2/2016 1:45,1/2/2016 1:47,1,-73.97001648,40.75296783,-73.97696686,40.73900604,N
id3483532,2,1/2/2016 3:18,1/2/2016 3:39,2,-74.00048828,40.72729874,-73.95728302,40.72692108,N
id1754536,2,1/2/2016 4:19,1/2/2016 4:41,1,-73.98307037,40.74180222,-73.95899963,40.67064667,N
id1639987,1,1/2/2016 5:33,1/2/2016 5:50,1,-73.95316315,40.7758522,-73.97843933,40.68996429,N
id1043265,1,1/2/2016 5:33,1/2/2016 5:44,1,-73.96353149,40.77447128,-73.98973846,40.7356987,N
id3075161,2,1/2/2016 6:23,1/2/2016 6:28,6,-73.9827652,40.77719116,-73.98292542,40.76293945,N
id1939583,2,1/2/2016 6:32,1/2/2016 6:37,2,-73.99755859,40.75672913,-73.9799118,40.75225067,N
id2005226,2,1/2/2016 7:49,1/2/2016 8:06,1,-73.94841766,40.82960129,-73.94908905,40.79420853,N
id2835994,1,1/2/2016 7:52,1/2/2016 8:06,1,-73.9839325,40.7755127,-73.98184967,40.75671005,N
id2540437,2,1/2/2016 7:56,1/2/2016 8:53,3,-73.77661896,40.64542389,-73.83981323,40.7195282,N
id2639612,2,1/2/2016 8:05,1/2/2016 8:12,1,-73.98428345,40.76972961,-73.97325897,40.75787735,N
id3207095,1,1/2/2016 8:09,1/2/2016 8:34,6,-73.98567963,40.75394821,-73.87045288,40.77365112,N
id3409095,2,1/2/2016 8:30,1/2/2016 9:03,5,-73.96303558,40.79899597,-73.98471069,40.75857162,N
id2084457,2,1/2/2016 8:41,1/2/2016 8:49,3,-73.98253632,40.77508163,-73.97176361,40.78459549,N
id3336983,2,1/2/2016 8:44,1/2/2016 8:57,1,-73.99087524,40.76585388,-73.9861908,40.75645065,N
id3941634,1,1/2/2016 9:07,1/2/2016 9:32,1,-73.98934174,40.75819778,-74.00234985,40.71953583,N
id0767394,2,1/2/2016 9:40,1/2/2016 9:45,1,-73.99720001,40.74238968,-73.99378967,40.7358284,N
id0013156,2,1/2/2016 9:43,1/2/2016 9:52,1,-73.98252106,40.75102615,-73.97814178,40.7373085,N
id1805901,2,1/2/2016 9:54,1/2/2016 10:03,1,-74.01452637,40.71672821,-74.00601959,40.74847031,N
id2599367,2,1/2/2016 9:59,1/2/2016 10:45,1,-74.01579285,40.71160507,-73.972435,40.78113174,N
id1938933,1,1/2/2016 10:13,1/2/2016 10:25,2,-73.99031067,40.75666428,-74.00631714,40.74237823,N
id0493851,2,1/2/2016 10:36,1/2/2016 10:43,1,-73.96877289,40.76429749,-73.95949554,40.76761627,N
id3603291,1,1/2/2016 11:40,1/2/2016 11:46,2,-73.96820068,40.76708221,-73.95976257,40.77078629,N
id3194676,2,1/2/2016 13:18,1/2/2016 13:23,1,-73.96068573,40.77563477,-73.95597839,40.78471756,N
id0448683,1,1/2/2016 13:18,1/2/2016 13:30,1,-73.9797821,40.75252914,-73.9909668,40.75875092,N
id3487746,1,1/2/2016 13:24,1/2/2016 13:29,1,-73.94911194,40.78157043,-73.94993591,40.7722435,N
id3965818,2,1/2/2016 13:31,1/2/2016 13:53,1,-73.99790955,40.74500656,-74.01648712,40.70608139,N
id2656545,1,1/2/2016 13:46,1/2/2016 14:21,1,-73.97536469,40.75129318,-73.79056549,40.64683151,N
id2236909,2,1/2/2016 14:08,1/2/2016 14:20,1,-73.96837616,40.75081253,-73.96622467,40.76798248,N
id1447105,1,1/2/2016 14:43,1/2/2016 14:52,1,-73.97441864,40.74911499,-73.98345184,40.72638321,N
id1111113,2,1/2/2016 14:47,1/2/2016 15:18,1,-74.00392151,40.74222183,-73.95729065,40.80521011,N
id0835776,1,1/2/2016 14:52,1/2/2016 14:57,2,-73.95870972,40.77549744,-73.96372986,40.76838684,N
id3664832,1,1/2/2016 15:05,1/2/2016 15:17,2,-73.98136139,40.76186752,-73.99228668,40.75014496,N
id2275898,2,1/2/2016 15:09,1/2/2016 15:23,1,-73.99409485,40.75113297,-73.97934723,40.76197815,N
id1004456,2,1/2/2016 15:16,1/2/2016 15:43,1,-73.86286163,40.76948929,-73.78225708,40.64567184,N
id2451429,2,1/2/2016 15:44,1/2/2016 15:54,1,-73.98705292,40.74520111,-73.97689819,40.75281906,N
id0299525,2,1/2/2016 15:47,1/2/2016 15:56,1,-73.9994278,40.74385834,-73.9839859,40.74680328,N
id2502867,2,1/2/2016 16:17,1/2/2016 16:36,2,-73.95137787,40.77361298,-73.97572327,40.75763321,N
id2975939,1,1/2/2016 16:39,1/2/2016 16:50,1,-73.98833466,40.74665451,-73.99497223,40.75944138,N
id2008958,2,1/2/2016 16:45,1/2/2016 17:14,2,-73.86268616,40.76873016,-73.92357635,40.82514572,N
id2425117,2,1/2/2016 16:55,1/2/2016 17:01,1,-73.98136139,40.74124146,-73.99041748,40.73707199,N
id2394158,1,1/2/2016 16:57,1/2/2016 17:05,1,-73.99051666,40.76120377,-73.99781799,40.75405502,N
id3670632,2,1/2/2016 17:06,1/2/2016 17:22,1,-73.97281647,40.76090622,-73.98743439,40.7488327,N
id2704960,1,1/2/2016 17:19,1/2/2016 17:28,1,-73.97480774,40.76371765,-73.97884369,40.77245331,N
id2835129,2,1/2/2016 17:45,1/2/2016 17:51,2,-73.93647766,40.81441116,-73.94327545,40.80265808,N
id0893680,2,1/2/2016 17:48,1/2/2016 18:01,5,-73.98430634,40.74000931,-73.9991684,40.75453949,N
id1168234,1,1/2/2016 18:02,1/2/2016 18:13,1,-74.00020599,40.73784637,-74.00031281,40.72286606,N
id0142990,2,1/2/2016 18:08,1/2/2016 18:17,3,-73.97181702,40.78387833,-73.98605347,40.77701187,N
id0040035,2,1/2/2016 18:09,1/2/2016 18:41,5,-73.95471954,40.76599121,-73.87284088,40.77442932,N
id3567227,2,1/2/2016 18:17,1/2/2016 18:26,1,-73.97902679,40.78222275,-73.95639038,40.78325653,N
id0438215,1,1/2/2016 18:30,1/2/2016 18:41,1,-73.98345184,40.76112747,-73.96835327,40.78665924,N
id0129980,2,1/2/2016 18:31,1/2/2016 18:38,1,-73.96102142,40.76734161,-73.95599365,40.78287125,N
id2133791,1,1/2/2016 19:07,1/2/2016 19:10,1,-73.9745636,40.76242828,-73.97787476,40.75870895,N
id3306540,1,1/2/2016 19:09,1/2/2016 19:14,2,-73.99402618,40.75136566,-73.98503113,40.75696945,N
id3958095,2,1/2/2016 19:15,1/2/2016 19:28,6,-73.97180939,40.75775146,-73.94780731,40.77946091,N
id0926013,2,1/2/2016 19:20,1/2/2016 19:27,1,-73.95284271,40.77671814,-73.95142365,40.78596878,N
id2711528,1,1/2/2016 19:36,1/2/2016 19:45,1,-74.0056839,40.72558594,-73.99066162,40.71925735,N
id0244798,1,1/2/2016 19:39,1/2/2016 19:56,1,-73.98872375,40.73389435,-73.97960663,40.76555252,N
id0443147,2,1/2/2016 19:44,1/2/2016 19:56,1,-73.98391724,40.76972961,-74.00336456,40.74829102,N
id1226459,2,1/2/2016 19:47,1/2/2016 20:04,1,-73.98419952,40.75502014,-74.00390625,40.73160553,N
id1596897,1,1/2/2016 19:52,1/2/2016 20:00,1,-73.98712921,40.7562294,-73.9940033,40.76396179,N
id3932541,1,1/2/2016 20:17,1/2/2016 20:41,1,-73.99424744,40.7281456,-73.96678162,40.79386902,N
id2038132,2,1/2/2016 20:18,1/2/2016 20:53,5,-73.97387695,40.75889969,-73.78546906,40.6486702,N
id0188628,2,1/2/2016 20:35,1/2/2016 21:01,1,-73.98584747,40.75717163,-73.7627182,40.7249794,N
id0659451,2,1/2/2016 20:44,1/2/2016 20:46,1,-73.98731232,40.73314285,-73.98090363,40.73545074,N
id1622754,2,1/2/2016 20:46,1/2/2016 21:20,1,-73.98249817,40.74781036,-74.00965881,40.70785522,N
id3797223,1,1/2/2016 21:07,1/2/2016 21:34,1,-73.99590302,40.7386055,-73.92913818,40.7002182,N
id3159749,1,1/2/2016 21:31,1/2/2016 21:40,1,-73.97950745,40.78467941,-73.99504089,40.75534058,N
id2638368,1,1/2/2016 21:41,1/2/2016 21:50,1,-73.9784317,40.75247192,-73.98468018,40.74436569,N
id0166128,2,1/2/2016 22:03,1/2/2016 22:10,1,-73.97473145,40.79327011,-73.97485352,40.77780914,N
id0532324,2,1/2/2016 22:16,1/2/2016 22:21,2,-73.97555542,40.74533844,-73.98072815,40.72993851,N
id3159798,1,1/2/2016 22:20,1/2/2016 22:34,1,-73.95488739,40.77329636,-73.96908569,40.80277634,N
id0837954,2,1/2/2016 22:44,1/2/2016 22:52,1,-73.98395538,40.76042557,-73.98856354,40.74615097,N
id0740625,1,1/2/2016 22:49,1/2/2016 22:54,1,-73.97281647,40.75848389,-73.96356964,40.77450562,N
id1218623,1,1/2/2016 22:51,1/2/2016 22:57,2,-73.97108459,40.75529861,-73.98060608,40.76424789,N
id0139151,2,1/2/2016 22:59,1/2/2016 23:15,2,-73.99331665,40.72941971,-73.98474121,40.76842117,N
id3510953,1,1/2/2016 23:26,1/2/2016 23:30,1,-73.98587799,40.73279953,-73.98724365,40.72531509,N
id3599963,1,1/2/2016 23:38,2/2/2016 0:15,1,-73.98442078,40.74872971,-73.78205109,40.69284821,N
id1275022,1,1/2/2016 23:48,2/2/2016 0:03,1,-73.98883057,40.69277191,-73.89028931,40.75120163,N
id1259047,2,1/3/2016 5:56,1/3/2016 5:58,2,-73.99586487,40.72448349,-73.99225616,40.72889709,N
id3733470,2,1/3/2016 6:10,1/3/2016 6:15,2,-73.97268677,40.74351883,-73.97714233,40.75194931,N
id1515308,1,1/3/2016 6:14,1/3/2016 7:07,2,-73.77674103,40.64541245,-73.98712921,40.76105881,N
id2126287,1,1/3/2016 6:22,1/3/2016 6:30,1,-73.99217224,40.74903107,-73.97022247,40.76322174,N
id2515758,1,1/3/2016 6:38,1/3/2016 6:46,1,-73.99772644,40.75649643,-73.9801178,40.76124573,N
id3624406,1,1/3/2016 6:38,1/3/2016 6:47,1,-73.93876648,40.80498505,-73.95261383,40.78950119,N
id1660823,2,1/3/2016 6:40,1/3/2016 7:01,5,-73.98213959,40.77532578,-74.00984955,40.72169876,N
id1698508,2,1/3/2016 6:51,1/3/2016 6:57,5,-73.95544434,40.77686691,-73.97563934,40.76378632,N
id0752161,1,1/3/2016 7:15,1/3/2016 7:41,2,-73.99699402,40.68897629,-73.97251129,40.75378418,N
id3809221,1,1/3/2016 7:27,1/3/2016 7:51,2,-73.95888519,40.7678833,-73.98176575,40.7604332,N
id0479466,1,1/3/2016 7:28,1/3/2016 7:30,1,-73.9821167,40.72540665,-73.98202515,40.72771835,N
id3546411,1,1/3/2016 7:32,1/3/2016 7:36,1,-73.93869781,40.80252457,-73.94306946,40.80260468,N
id0290418,2,1/3/2016 7:59,1/3/2016 8:09,1,-73.97808075,40.74597168,-73.97917938,40.757061,N
id2561259,2,1/3/2016 8:05,1/3/2016 8:24,5,-73.99600983,40.74885178,-74.01509857,40.71134949,N
id2671080,2,1/3/2016 8:19,1/3/2016 8:32,1,-73.98117828,40.76470566,-73.98654938,40.74303055,N
id3714906,1,1/3/2016 8:33,1/3/2016 8:40,1,-73.98949432,40.75367737,-73.98833466,40.74594879,N
id1661117,1,1/3/2016 9:05,1/3/2016 9:19,1,-73.9708786,40.78929901,-73.94277191,40.78588867,Y
id0043316,2,1/3/2016 9:39,1/3/2016 9:41,1,-73.97452545,40.7875061,-73.97251892,40.78649521,N
id1453192,2,1/3/2016 9:44,1/3/2016 9:59,6,-73.9941864,40.73511124,-73.98074341,40.7533493,N
id0247481,2,1/3/2016 10:00,1/3/2016 10:31,1,-73.95571899,40.77266312,-74.00014496,40.73617172,N
id3138678,1,1/3/2016 10:13,1/3/2016 10:31,1,-73.95439911,40.76482773,-73.98310089,40.75454712,N
id0702010,2,1/3/2016 10:19,1/3/2016 10:32,2,-73.97530365,40.75514984,-73.95776367,40.77962875,N
id1595170,2,1/3/2016 10:19,1/3/2016 10:33,1,-74.00485229,40.74971771,-74.00694275,40.73092651,N
id2827174,1,1/3/2016 11:31,1/3/2016 11:48,1,-73.98062134,40.76534653,-73.94680786,40.77620697,N
id2566129,2,1/3/2016 11:35,1/3/2016 11:56,6,-73.96826172,40.75496292,-73.99228668,40.73065948,N
id2995933,2,1/3/2016 11:45,1/3/2016 12:29,2,-73.7817688,40.64504242,-73.98445892,40.7698288,N
id2589892,1,1/3/2016 12:52,1/3/2016 13:15,1,-73.97304535,40.75319672,-73.99282074,40.74785233,N
id0392932,1,1/3/2016 12:57,1/3/2016 13:07,1,-73.96322632,40.77470016,-73.97078705,40.76534653,N
id3265427,2,1/3/2016 13:31,1/3/2016 13:51,2,-73.97644043,40.78826141,-73.98246765,40.7514801,N
id1851643,2,1/3/2016 13:32,1/3/2016 13:46,2,-73.9850235,40.7525444,-73.96700287,40.76660156,N
id1181804,1,1/3/2016 13:34,1/3/2016 13:41,1,-73.96546173,40.79069519,-73.97957611,40.78472137,N
id3600883,1,1/3/2016 14:00,1/3/2016 14:13,1,-73.95517731,40.77717209,-73.96721649,40.76363754,N
id0432449,2,1/3/2016 14:40,1/3/2016 15:11,1,-73.98178864,40.7461586,-73.96231079,40.7687912,N
id0828702,1,1/3/2016 16:00,1/3/2016 16:14,1,-73.95664215,40.77810669,-73.98012543,40.78070831,N
id2304082,2,1/3/2016 16:24,1/3/2016 16:37,2,-73.95291901,40.82291031,-73.94612885,40.83543015,N
id0476703,1,1/3/2016 16:31,1/3/2016 16:42,1,-73.95227051,40.82420349,-73.93804169,40.8555069,N
id0593611,2,1/3/2016 17:24,1/3/2016 17:26,1,-73.96295929,40.77805328,-73.9631958,40.77507019,N
id2349749,1,1/3/2016 17:25,1/3/2016 17:33,2,-73.95018768,40.77543259,-73.96324921,40.75788116,N
id0918647,1,1/3/2016 17:26,1/3/2016 17:41,1,-73.99120331,40.74539948,-74.00232697,40.76047516,N
id3474654,1,1/3/2016 17:30,1/3/2016 18:19,2,-73.78972626,40.64404678,-73.98690796,40.73942947,N
id1087057,2,1/3/2016 17:32,1/3/2016 17:42,1,-74.00285339,40.76049423,-73.9930191,40.75452042,N
id0487659,1,1/3/2016 17:38,1/3/2016 17:47,1,-73.9744873,40.75858688,-73.96472931,40.77289581,N
id1483820,2,1/3/2016 17:40,1/3/2016 17:56,1,-73.97872162,40.73703003,-73.99059296,40.75595856,N
id0101540,2,1/3/2016 18:00,1/3/2016 18:12,1,-74.00334167,40.74735641,-73.98973846,40.73897552,N
id0868206,2,1/3/2016 18:08,1/3/2016 18:13,5,-73.97920227,40.74922943,-73.97489166,40.74433899,N
id0103643,1,1/3/2016 18:10,1/3/2016 18:15,2,-73.95888519,40.77510452,-73.96551514,40.76770782,N
id0169505,1,1/3/2016 18:15,1/3/2016 18:18,1,-74.00766754,40.74300003,-74.00328827,40.75236893,N
id0073966,2,1/3/2016 18:19,1/3/2016 18:41,4,-73.96920776,40.7571907,-74.00418091,40.74946976,N
id0251037,2,1/3/2016 18:29,1/3/2016 18:50,1,-73.96797943,40.75550842,-73.89577484,40.73059082,N
id1124501,2,1/3/2016 18:37,1/3/2016 18:49,1,-73.97484589,40.74675751,-73.99071503,40.75090027,N
id1497574,2,1/3/2016 18:42,1/3/2016 18:46,6,-73.95339203,40.78253937,-73.94916534,40.77688599,N
id2924236,1,1/3/2016 18:53,1/3/2016 19:09,1,-73.99480438,40.75032043,-73.98314667,40.77589798,N
id1037341,2,1/3/2016 18:57,1/3/2016 19:02,1,-73.99401855,40.72018814,-73.98875427,40.72763443,N
id3639050,1,1/3/2016 19:09,1/3/2016 19:13,1,-73.99707794,40.7251091,-74.00333405,40.71799088,N
id1457717,1,1/3/2016 19:25,1/3/2016 19:29,1,-73.9710083,40.75812912,-73.97807312,40.74889755,N
id0416924,1,1/3/2016 19:36,1/3/2016 19:45,1,-73.98229218,40.74588776,-73.9910202,40.76026154,N
id3262133,1,1/3/2016 19:50,1/3/2016 19:58,1,-74.0035553,40.73413467,-73.99594116,40.74864197,N
id0436861,1,1/3/2016 19:53,1/3/2016 20:09,1,-74.00523376,40.70914459,-73.95465851,40.76721954,N
id2319285,2,1/3/2016 19:55,1/3/2016 20:03,1,-73.95536041,40.77701187,-73.96499634,40.79281998,N
id3130046,2,1/3/2016 20:00,1/3/2016 20:14,1,-73.95948029,40.80911255,-73.96127319,40.7716713,N
id0359182,2,1/3/2016 20:02,1/3/2016 20:09,1,-74.00803375,40.7228508,-73.99986267,40.72848892,N
id3870659,2,1/3/2016 20:12,1/3/2016 20:25,1,-73.98025513,40.75154495,-73.9468689,40.77619171,N
id1251488,1,1/3/2016 20:16,1/3/2016 20:26,1,-73.98795319,40.7412262,-73.99093628,40.75589371,N
id3047585,2,1/3/2016 20:22,1/3/2016 20:44,6,-73.95054626,40.82132339,-73.99137115,40.75007629,N
id1768360,2,1/3/2016 20:23,1/3/2016 20:48,2,-73.99049377,40.73463821,-73.94306946,40.81021118,N
id0685139,2,1/3/2016 20:28,1/3/2016 20:34,6,-74.00536346,40.72583008,-73.99067688,40.73143005,N
id0659640,1,1/3/2016 20:33,1/3/2016 20:43,1,-73.97901154,40.75018311,-73.95180511,40.77354431,N
id2709285,1,1/3/2016 20:41,1/3/2016 20:50,1,-73.99265289,40.75825882,-73.9690094,40.75357437,N
id1582903,1,1/3/2016 20:46,1/3/2016 21:10,1,-73.8635788,40.76976013,-74.00361633,40.7174263,N
id2290661,2,1/3/2016 20:47,1/3/2016 20:54,1,-73.98518372,40.76036072,-73.97104645,40.7528801,N
id3044692,2,1/3/2016 20:51,1/3/2016 20:57,2,-73.96971893,40.75962067,-73.97590637,40.74459839,N
id0184392,1,1/3/2016 21:03,1/3/2016 21:22,1,-73.97496796,40.75288773,-74.00959015,40.72081757,N
id3757006,1,1/3/2016 21:46,1/3/2016 22:06,2,-73.9947052,40.75043869,-73.86703491,40.76885223,N
id0009143,2,1/3/2016 22:00,1/3/2016 22:06,1,-73.98532867,40.74695969,-73.98422241,40.72917175,N
id1805653,1,1/3/2016 22:03,1/3/2016 22:27,1,-73.98223114,40.72798538,-73.91356659,40.68860626,N
id1545656,1,1/3/2016 22:14,1/3/2016 22:27,1,-73.996315,40.75261688,-73.97802734,40.78976822,N
id1913170,1,1/3/2016 22:31,1/3/2016 22:49,1,-73.98503876,40.7324791,-73.99339294,40.68225861,N
id1253994,2,1/3/2016 22:38,1/3/2016 22:47,1,-73.99984741,40.72837067,-73.99152374,40.74963379,N
